2Q29	Numbers|23|5	1654586|1654587|1654588|1654589|1654590|1654591|1654592|1654593|1654594|1654595|1654596	BPJ BL<M WJ>WMR CWB >L BLQ WKWH TDBR
2Q29	Numbers|23|6	1654598|1654599|1654600|1654601|1654602|1654603|1654604|1654605|1654606|1654607|1654608|1654609|1654610	WJCWB >LJW WHNH NYB <L <WLTW HW> WKWL FRJ MW>B
2Q29	Numbers|23|7	1654612|1654613|1654614|1654615|1654616|1654617|1654618|1654619|1654620|1654621|1654622|1654623|1654624|1654625|1654626|1654627|1654628|1654629|1654630|1654631|1654632|1654633	WJF> MCLW WJ>WMR MN >RM JNXNJ BLQ MLK MW>B MHRRJ QDM LKH >RH LJ J<QWB WLKH Z<MH JFR>L
2Q29	Numbers|23|8	1654635|1654636|1654637|1654638|1654639|1654640|1654641|1654642|1654643|1654644|1654645	MH >QWB LW> QBH >L WMH >Z<WM LW> Z<M JHWH
4Q88	Psalms|22|14	2051795|2051796|2051797|2051798|2051799|2051800	<LJ PJHM >RJH VRP WC>G
4Q88	Psalms|22|15	2051802|2051803|2051804|2051805|2051806|2051807|2051808|2051809|2051810|2051811|2051812|2051813|2051814|2051815|2051816	KMJM NCPKTJ WHTPRDW KL <YMTJ HJH LBJ KDWNG NMC BTWK M<J
4Q88	Psalms|22|16	2051818|2051819|2051820|2051821|2051822|2051823|2051825|2051826|2051827|2051828|2051829|2051830	JBC KXRF KXJ WLCWNJ MLQWXJ W>L <PR MWT CWPV
4Q88	Psalms|22|17	2051832|2051833|2051834|2051835|2051836|2051837|2051838|2051839|2051840|2051841	KJ SBBWNJ KLBJM <DT MR<JM HQJPNJ KRW JDJ WRGLJ
4Q88	Psalms|107|2	2051843|2051844|2051845|2051846|2051847|2051848|2051849|2051850	J>MRW G>WLJ JHWH >CR G>LM MJD YR
4Q88	Psalms|107|3	2051852|2051853|2051854|2051855|2051856|2051857|2051858|2051859|2051860|2051861|2051862|2051863|2051864|2051865	WM>RYWT QBYM MMZRX WMM<RB MYPWN WMJM
4Q88	Psalms|107|4	2051867|2051868|2051869|2051870|2051871|2051872|2051873|2051874|2051875|2051876	T<W BMDBR BJCJMWN DRK <JR MWCB LW> MY>W
4Q88	Psalms|107|5	2051878|2051879|2051880|2051881|2051882	R<BJM GM YM>JM NPCM BHM
4Q88	Psalms|107|8	2051885|2051886|2051887|2051888|2051889|2051890|2051891|2051892|2051893	JWDW LJHWH XSDW WNPL>WTJW LBNJ >DM
4Q88	Psalms|107|9	2051895|2051896|2051897|2051898|2051899|2051900|2051901|2051902|2051903	KJ HFBJ< NPC R<BH WNPC CQQH ML> VWB
4Q88	Psalms|107|10	2051905|2051906|2051907|2051908|2051909|2051910|2051911|2051912	JCBJ XWCK WYLMWT >SJRJ <NJ WBRZL
4Q88	Psalms|107|11	2051914|2051915|2051916|2051917|2051918|2051919|2051920|2051921	HM HMRW >MRJ >L W<YT <LJWN N>YW
4Q88	Psalms|107|12	2051923|2051924|2051925|2051926|2051927|2051928|2051929|2051930|2051931	WJKN< B<ML LBM KCLW W>JN <ZR
4Q88	Psalms|107|13	2051933|2051934|2051935|2051936|2051937|2051938|2051939|2051940|2051941|2051942|2051943	WJZ<QW >L JHWH BYR LHM MMYJQWTJHM WJCJ<M
4Q88	Psalms|107|14	2051945|2051946|2051947|2051948|2051949|2051950|2051951|2051952|2051953	WJWYJ>M MXWCK WYLMWT WMWSRWTJHM JNTQ
4Q88	Psalms|107|15	2051955|2051956|2051957|2051958|2051959|2051960|2051961|2051962|2051963	HWDW LJHWH XSJDW WNPL>WTJW LBNJ >DM
4Q88	Psalms|107|16	2051965|2051966|2051967|2051968|2051969|2051970|2051971|2051972	KJ CBR DLTWT NXCH WBRJXJ BRZL GD<
